date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:00	128/128	---MC-	200	added ('OK')	text/plain	date:Wed,%2017%20Dec%202025%2014:49:00%20GMT	https://speedygarageservices.com/robots.txt		(from )
21:49:02	504171/504171	---MC-	200	added ('OK')	text/html	date:Wed,%2017%20Dec%202025%2014:49:00%20GMT	https://speedygarageservices.com/	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/index.html	(from )
21:49:03	5842/5842	---MC-	200	added ('OK')	text/html	date:Wed,%2017%20Dec%202025%2014:49:03%20GMT	https://gmpg.org/xfn/11	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/gmpg.org/xfn/11.html	(from https://speedygarageservices.com/)
21:49:04	2175/2175	---MC-	200	added ('OK')	application/json	date:Wed,%2017%20Dec%202025%2014:49:03%20GMT	https://speedygarageservices.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fspeedygarageservices.com%2F	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-json/oembed/1.0/embed2b43.json	(from https://speedygarageservices.com/)
21:49:04	120239/120239	---MC-	200	added ('OK')	application/rss+xml	etag:%2217d58b2f3f02dc9a53f8af682f30c71a%22	https://speedygarageservices.com/feed/	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/feed/index.html	(from https://speedygarageservices.com/)
21:49:04	739/739	---MC-	200	added ('OK')	application/rss+xml	etag:%2217d58b2f3f02dc9a53f8af682f30c71a%22	https://speedygarageservices.com/comments/feed/	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/comments/feed/index.html	(from https://speedygarageservices.com/)
21:49:05	2329/2329	---MC-	200	added ('OK')	text/xml	date:Wed,%2017%20Dec%202025%2014:49:04%20GMT	https://speedygarageservices.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fspeedygarageservices.com%2F&format=xml	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-json/oembed/1.0/embeda378	(from https://speedygarageservices.com/)
21:49:05	45719/45719	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2016:28:40%20GMT	https://speedygarageservices.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.10	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/themes/astra/assets/css/minified/main.min4641.css	(from https://speedygarageservices.com/)
21:49:05	4719/4719	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2016:25:51%20GMT	https://speedygarageservices.com/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=4.0.6	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/metform/public/assets/lib/cute-alert/style8603.css	(from https://speedygarageservices.com/)
21:49:05	22474/22474	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2016:25:45%20GMT	https://speedygarageservices.com/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=4.0.6	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/metform/public/assets/css/text-editor8603.css	(from https://speedygarageservices.com/)
21:49:06	254/254	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:04:50%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.32.5	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-image.min9287.css	(from https://speedygarageservices.com/)
21:49:06	449991/449991	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:02:41%20GMT	https://speedygarageservices.com/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/premium-addons.min.css?ver=4.11.44	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/premium-addons.min7015.css	(from https://speedygarageservices.com/)
21:49:06	53614/53614	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:04:49%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.5	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/css/frontend.min9287.css	(from https://speedygarageservices.com/)
21:49:06	1494/1494	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:04:50%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-image-box.min.css?ver=3.32.5	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-image-box.min9287.css	(from https://speedygarageservices.com/)
21:49:06	27364/27364	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:03:57%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css?ver=3.32.3	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min8e60.css	(from https://speedygarageservices.com/)
21:49:06	162/162	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:03:58%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.32.3	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min8e60.css	(from https://speedygarageservices.com/)
21:49:07	600/600	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:04:50%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.5	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-heading.min9287.css	(from https://speedygarageservices.com/)
21:49:07	1833/1833	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:04:51%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.32.5	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-spacer.min9287.css	(from https://speedygarageservices.com/)
21:49:07	10470/10470	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:04:50%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.32.5	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min9287.css	(from https://speedygarageservices.com/)
21:49:07	1550/1550	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Dec%202025%2022:26:38%20GMT	https://speedygarageservices.com/wp-content/uploads/elementor/css/post-8.css?ver=1764714398	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/uploads/elementor/css/post-83401.css	(from https://speedygarageservices.com/)
21:49:07	59344/59344	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:05:32%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.11.44	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min7015.css	(from https://speedygarageservices.com/)
21:49:08	26702/26702	---M--	200	added ('OK')	text/css	date:Thu,%2023%20Oct%202025%2018:05:32%20GMT	https://speedygarageservices.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.32.5	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min9287.css	(from https://speedygarageservices.com/)
21:49:08	115844/115844	---M--	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2016:25:44%20GMT	https://speedygarageservices.com/wp-content/plugins/metform/public/assets/css/metform-ui.css?ver=4.0.6	C:/Users/OxGh0/OneDrive/Desktop/Chicopee%20Garage%20Door/speedygarageservices.com/wp-content/plugins/metform/public/assets/css/metform-ui8603.css	(from https://speedygarageservices.com/)
